KepID,DispositionScore,NotTransit-LikeFalsePositiveFlag,koi_fpflag_ss,CentroidOffsetFalsePositiveFlag,EphemerisMatchIndicatesContaminationFalsePositiveFlag,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,TCEDeliver,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
5470851,0.0,1,0,1,1,12.4276185,0.000659,-0.000659,141.3698,0.0445,-0.0445,0.303,0.155,-0.303,18.56,1.1,-1.1,147.0,13.8,-13.8,1.14,0.36,-0.11,768.0,82.45,76.65,-26.29,12.6,1.0,1,5869.0,182.0,-243.0,4.513,0.038,-0.212,0.942,0.289,-0.096,297.51108,40.61908,15.79,0,0
6205468,0.0,0,1,1,1,3.7228551,4.85e-06,-4.85e-06,179.30315,0.00106,-0.00106,0.911,0.002,-0.002,12.8164,0.0756,-0.0756,2970.0,12.6,-12.6,5.67,1.35,-0.45,1118.0,368.33,251.92,-91.77,294.8,1.0,1,5873.0,141.0,-177.0,4.547,0.04,-0.16,0.863,0.205,-0.068,291.98337,41.555111,15.513,0,0
5471769,0.0,1,0,1,1,12.4255705,0.0006,-0.0006,141.5298,0.048,-0.048,0.984,0.031,-0.722,28.88,1.4,-1.4,139.0,7.4,-7.4,1.37,0.33,-0.11,721.0,63.95,45.55,-15.41,21.1,1.0,1,5742.0,155.0,-155.0,4.564,0.04,-0.16,0.827,0.199,-0.066,297.74551,40.67429,14.961,0,0
3530668,0.002,0,1,0,0,1.946198513,2.68e-07,-2.68e-07,132.314091,0.000113,-0.000113,0.249,0.034,-0.025,4.0336,0.00664,-0.00664,131000.0,182.0,-182.0,52.58,14.7,-13.2,1853.0,2779.44,2378.35,-1450.57,902.8,1.0,1,6224.0,199.0,-243.0,4.165,0.24,-0.18,1.433,0.4,-0.36,287.03967,38.640308,13.993,0,0
3248019,0.0,0,1,0,0,1.334104585,9.8e-08,-9.8e-08,132.3674913,6.38e-05,-6.38e-05,0.986,0.179,-0.014,3.14624,0.00279,-0.00279,61700.0,26.1,-26.1,44.9,14.1,-7.01,1880.0,2954.64,2808.3,-1154.51,1334.6,1.0,1,6319.0,198.0,-242.0,4.373,0.105,-0.195,1.083,0.339,-0.169,294.59683,38.37014,15.387,0,0
10341876,0.0,1,0,0,0,351.204993,0.00699,-0.00699,184.9276,0.0162,-0.0162,0.777,0.175,-0.523,22.414,0.693,-0.693,1260.0,65.8,-65.8,3.57,0.91,-0.5,258.0,1.04,0.79,-0.35,21.3,1.0,1,5845.0,158.0,-175.0,4.435,0.12,-0.18,0.918,0.236,-0.127,292.75928,47.430401,15.506,0,0
5700330,0.0,0,1,0,0,53.220417,5.75e-06,-5.75e-06,138.5798799,8.96e-05,-8.96e-05,0.248,0.005,-0.001,17.7344,0.00653,-0.00653,72900.0,19.3,-19.3,55.22,7.84,-15.7,655.0,43.63,16.73,-22.46,4563.5,1.0,1,5653.0,84.0,-76.0,3.905,0.217,-0.093,2.057,0.292,-0.585,290.15335,40.90163,13.613,0,0
11046458,1.0,0,0,0,0,3.311864148,3.55e-07,-3.55e-07,131.7427761,8.65e-05,-8.65e-05,0.905,0.005,-0.007,1.4049,0.0139,-0.0139,5980.0,24.2,-24.2,9.06,1.16,-0.33,1116.0,365.94,125.14,-46.03,448.2,1.0,1,5461.0,73.0,-82.0,4.499,0.023,-0.12,0.937,0.12,-0.034,298.62488,48.57745,14.256,1,2
5444384,0.0,0,1,1,1,1.519529227,1.89e-06,-1.89e-06,132.55256,0.00112,-0.00112,0.866,0.005,-0.004,5.1675,0.0511,-0.0511,8370.0,69.0,-69.0,11.12,3.33,-1.32,1653.0,1766.31,1608.95,-595.73,155.1,1.0,1,6033.0,190.0,-232.0,4.46,0.05,-0.2,1.046,0.313,-0.125,290.51465,40.693001,15.551,0,0
6975129,1.0,0,0,0,0,1.772451066,6.6e-06,-6.6e-06,132.08668,0.00314,-0.00314,0.006,0.444,-0.006,2.4592,0.0976,-0.0976,79.2,4.1,-4.1,1.02,0.18,-0.06,1685.0,1904.34,895.31,-358.03,22.4,2.0,1,6243.0,99.0,-136.0,4.406,0.026,-0.136,1.149,0.201,-0.067,298.39575,42.459751,12.949,1,2
7031208,0.0,1,0,0,1,0.566796331,6.34e-06,-6.34e-06,131.8335,0.0106,-0.0106,0.981,0.013,-0.564,5.194,0.446,-0.446,115.0,13.6,-13.6,1.5,0.49,-0.16,2411.0,7979.99,7851.11,-2551.64,33.3,1.0,1,6319.0,197.0,-241.0,4.447,0.054,-0.216,1.032,0.335,-0.112,291.0116,42.553822,15.322,0,0
4370527,0.997,0,0,0,0,61.6174528,0.000357,-0.000357,179.08282,0.00485,-0.00485,0.091,0.378,-0.091,3.816,0.148,-0.148,1350.0,80.5,-80.5,3.36,0.41,-0.2,424.0,7.67,2.54,-1.25,19.5,1.0,1,5480.0,73.0,-82.0,4.485,0.045,-0.105,0.931,0.115,-0.053,293.06335,39.40345,15.722,1,2
9079915,0.007,0,0,1,0,0.812678859,4.14e-06,-4.14e-06,132.20817,0.00413,-0.00413,0.664,0.105,-0.519,0.841,0.192,-0.192,39.3,7.5,-7.5,0.83,0.27,-0.09,2403.0,7917.14,7293.49,-2401.06,7.4,1.0,1,6636.0,161.0,-221.0,4.349,0.065,-0.195,1.236,0.397,-0.132,287.89935,45.417488,13.513,0,0
4074736,0.909,0,0,0,0,80.9669561,0.000121,-0.000121,160.97672,0.00127,-0.00127,0.007,0.383,-0.007,2.5276,0.0483,-0.0483,4730.0,104.0,-104.0,5.04,1.03,-0.37,364.0,4.14,2.62,-0.99,52.0,1.0,1,5611.0,168.0,-168.0,4.61,0.04,-0.128,0.737,0.151,-0.054,295.80585,39.17799,15.671,1,1
8689793,1.0,0,0,0,0,3.554856338,6.66e-06,-6.66e-06,131.80398,0.00159,-0.00159,0.331,0.093,-0.331,2.1004,0.0428,-0.0428,233.0,6.7,-6.7,1.29,0.37,-0.1,1157.0,425.04,359.93,-100.9,40.8,1.0,1,6068.0,163.0,-181.0,4.565,0.036,-0.204,0.831,0.24,-0.06,292.02045,44.876221,14.053,1,2
8460634,0.0,0,0,1,1,6.35216475,9.14e-05,-9.14e-05,134.1982,0.0116,-0.0116,0.196,0.271,-0.196,3.251,0.303,-0.303,186.0,19.9,-19.9,18.1,3.46,-3.83,2698.0,12523.45,5874.42,-5370.43,10.9,1.0,1,4820.0,43.0,-100.0,2.471,0.027,-0.033,13.654,2.604,-2.893,300.78308,44.489269,11.673,0,0
