DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,5.62978034,4.96e-05,-4.96e-05,136.8349,0.00772,-0.00772,0.08,0.374,-0.08,5.847,0.192,-0.192,379.0,23.2,-23.2,1.61,0.36,-0.15,899.0,154.59,108.9,-43.82,19.1,1.0,5497.0,180.0,-197.0,4.57,0.027,-0.153,0.839,0.188,-0.075,298.03653,39.90601,15.993,0,0
1.0,47.7052566,0.00047,-0.00047,146.3164,0.01,-0.01,0.918,0.025,-0.627,5.959,0.251,-0.251,1160.0,58.9,-58.9,2.89,0.12,-0.14,347.0,3.42,0.58,-0.57,22.8,1.0,4551.0,90.0,-90.0,4.609,0.036,-0.018,0.672,0.027,-0.033,294.00543,46.310692,16.22,1,2
0.979,65.752109,0.00193,-0.00193,183.3112,0.0249,-0.0249,0.109,0.347,-0.109,6.854,0.614,-0.614,383.0,43.4,-43.4,2.0,0.29,-0.14,458.0,10.36,4.07,-1.86,9.9,1.0,5816.0,78.0,-78.0,4.432,0.051,-0.119,1.03,0.154,-0.071,291.65906,38.712158,15.478,1,1
1.0,11.8150174,0.000107,-0.000107,133.08929,0.00698,-0.00698,0.875,0.045,-0.61,2.834,0.227,-0.227,1000.0,107.0,-107.0,3.48,0.58,-0.14,762.0,79.66,36.67,-12.71,10.5,2.0,5729.0,103.0,-126.0,4.514,0.022,-0.127,0.939,0.156,-0.039,298.48282,46.793621,13.297,1,2
0.998,55.8224775,0.00041,-0.00041,169.03741,0.00545,-0.00545,0.031,0.424,-0.031,5.457,0.17,-0.17,880.0,42.6,-42.6,2.13,0.28,-0.19,379.0,4.85,2.14,-1.23,23.7,1.0,5162.0,153.0,-138.0,4.611,0.033,-0.083,0.736,0.097,-0.065,287.2977,47.455441,15.624,1,2
0.573,353.01861,0.0111,-0.0111,350.0863,0.0219,-0.0219,0.064,0.359,-0.064,15.583,0.481,-0.481,375.0,27.7,-27.7,2.25,0.76,-0.25,301.0,1.93,1.84,-0.58,14.9,2.0,6450.0,144.0,-192.0,4.386,0.067,-0.216,1.155,0.389,-0.13,284.19217,44.762112,13.971,1,1
0.0,0.72359699,2.47e-05,-2.47e-05,131.57754,0.005,-0.005,0.608,0.361,-0.38,1.326,0.114,-0.114,496.0,42.6,-42.6,6.73,1.61,-3.0,4699.0,114645.28,82606.31,-85077.56,14.8,1.0,8855.0,251.0,-376.0,3.818,0.408,-0.102,2.858,0.687,-1.275,291.55807,38.546219,14.338,0,0
0.0,31.9730649,0.000728,-0.000728,133.8409,0.0172,-0.0172,0.716,0.21,-0.484,8.872,0.938,-0.938,159.0,13.4,-13.4,1.09,0.29,-0.09,530.0,18.59,14.28,-4.69,15.6,1.0,5811.0,158.0,-158.0,4.571,0.044,-0.176,0.811,0.211,-0.07,292.17368,44.662861,14.545,0,0
1.0,13.7223682,1.82e-05,-1.82e-05,137.84083,0.00112,-0.00112,0.009,0.359,-0.009,5.1231,0.0357,-0.0357,571.0,6.5,-6.5,2.23,0.28,-0.27,746.0,73.16,26.92,-20.94,97.9,1.0,5637.0,113.0,-101.0,4.399,0.132,-0.088,0.943,0.117,-0.117,293.26093,44.868889,13.749,1,2
0.0,1.992098705,1.93e-07,-1.93e-07,132.891052,8.06e-05,-8.06e-05,1.069,0.041,-0.02,4.03833,0.00379,-0.00379,69400.0,52.5,-52.5,45.85,13.4,-4.49,1435.0,1006.31,863.45,-290.16,1186.0,1.0,6024.0,163.0,-199.0,4.523,0.05,-0.2,0.9,0.263,-0.088,296.00211,39.000511,14.985,0,0
1.0,4.8608059,5.86e-05,-5.86e-05,135.76776,0.0091,-0.0091,0.374,0.075,-0.374,1.966,0.287,-0.287,252.0,35.3,-35.3,1.21,0.27,-0.09,925.0,172.76,124.72,-44.68,8.9,1.0,5541.0,198.0,-198.0,4.6,0.034,-0.136,0.757,0.169,-0.056,297.05664,46.08353,15.933,1,1
0.0,2.037453129,4.3e-08,-4.3e-08,131.5522356,1.69e-05,-1.69e-05,0.611,0.004,-0.002,5.43155,0.00049,-0.00049,316000.0,0.0,0.0,136.3,32.2,-59.9,2220.0,5752.74,4069.55,-4184.88,6944.9,1.0,6456.0,181.0,-227.0,3.906,0.432,-0.135,2.056,0.486,-0.903,295.80463,47.670906,12.22,0,0
1.0,23.7832097,0.000129,-0.000129,179.75013,0.00388,-0.00388,0.01,0.438,-0.01,7.939,0.121,-0.121,257.0,7.2,-7.2,2.01,0.32,-0.38,725.0,65.26,28.57,-26.28,38.3,1.0,5877.0,105.0,-129.0,4.233,0.162,-0.108,1.265,0.199,-0.243,295.21744,40.592251,13.716,1,1
0.992,44.5643831,0.00035,-0.00035,143.43526,0.00604,-0.00604,0.851,0.042,-0.577,7.874,0.178,-0.178,361.0,14.4,-14.4,5.8,1.04,-1.93,940.0,184.67,101.75,-112.33,27.0,2.0,7029.0,194.0,-219.0,3.806,0.277,-0.092,2.704,0.485,-0.901,284.41592,48.65802,12.998,1,1
0.0,8.429438192,2.99e-07,-2.99e-07,132.2922535,2.98e-05,-2.98e-05,0.428,0.006,-0.003,3.94306,0.0009,-0.0009,456000.0,1.8,-1.8,49.49,2.03,-4.15,582.0,27.16,6.01,-7.25,3072.5,1.0,4268.0,129.0,-142.0,4.602,0.052,-0.017,0.68,0.028,-0.057,286.81927,46.66478,14.117,0,0
0.0,11.97360504,8.94e-06,-8.94e-06,144.779315,0.000591,-0.000591,1.3,12.63,-0.113,4.3117,0.0321,-0.0321,3820.0,26.6,-26.6,38.2,13.0,-4.05,820.0,106.83,110.24,-32.69,172.9,1.0,6146.0,192.0,-213.0,4.497,0.054,-0.216,0.943,0.321,-0.1,296.71634,48.211262,15.175,0,0
0.129,77.915425,0.00254,-0.00254,160.9193,0.0216,-0.0216,0.448,0.524,-0.247,8.274,0.687,-0.687,179.0,24.8,-24.8,1.17,0.06,-0.09,367.0,4.28,0.81,-0.86,9.2,2.0,5135.0,84.0,-76.0,4.464,0.084,-0.039,0.874,0.048,-0.069,297.04208,39.912231,14.316,1,1
0.152,234.524445,0.00588,-0.00588,346.4227,0.0209,-0.0209,0.741,0.057,-0.52,3.9,1.0,-1.0,876.0,219.0,-219.0,2.33,0.28,-0.16,226.0,0.62,0.25,-0.14,6.8,1.0,4987.0,151.0,-136.0,4.613,0.03,-0.07,0.727,0.086,-0.05,288.6127,51.770439,15.8,0,0
0.0,21.12752693,9.79e-05,-9.79e-05,142.67722,0.00365,-0.00365,0.157,0.302,-0.157,2.253,0.138,-0.138,51.8,3.5,-3.5,20.93,6.01,-6.68,2349.0,7200.22,6493.61,-4219.44,18.4,1.0,4024.0,141.0,-112.0,1.672,0.275,-0.225,30.882,8.872,-9.858,288.22437,42.549011,8.789,0,0
0.886,12.85755895,9.5e-05,-9.5e-05,141.85597,0.00641,-0.00641,0.55,0.033,-0.457,4.831,0.188,-0.188,107.0,8.5,-8.5,1.23,0.19,-0.21,860.0,129.15,52.29,-44.62,14.2,1.0,5860.0,79.0,-79.0,4.276,0.162,-0.108,1.156,0.178,-0.195,294.30099,39.519058,13.821,1,1
1.0,16.48686712,3.61e-05,-3.61e-05,139.20338,0.00169,-0.00169,1.198,70.49,-0.479,1.431,0.11,-0.11,988.0,58.0,-58.0,27.45,7.49,-3.2,760.0,78.99,63.75,-26.23,22.1,1.0,6090.0,169.0,-232.0,4.447,0.06,-0.192,1.071,0.292,-0.125,296.56006,46.857479,15.315,1,1
0.0,5.874197307,3.15e-07,-3.15e-07,134.3187261,4.46e-05,-4.46e-05,0.7,0.116,-0.017,4.26585,0.00253,-0.00253,206000.0,99.2,-99.2,59.2,18.3,-9.84,1112.0,361.15,337.78,-143.18,2200.0,1.0,6103.0,190.0,-212.0,4.363,0.124,-0.201,1.083,0.334,-0.18,290.99643,43.458752,14.857,0,0
0.0,7.1091096,0.000378,-0.000378,133.4379,0.0366,-0.0366,0.663,0.304,-0.44,10.67,1.2,-1.2,157.0,13.3,-13.3,1.08,0.25,-0.1,855.0,126.12,87.02,-34.14,13.0,1.0,5665.0,152.0,-169.0,4.568,0.038,-0.152,0.82,0.191,-0.076,299.10294,43.69421,15.71,0,0
0.0,1.061934816,1.44e-06,-1.44e-06,133.84801,0.00116,-0.00116,1.25,0.699,-0.171,3.2551,0.0625,-0.0625,437.0,7.3,-7.3,25.72,6.35,-2.13,1660.0,1789.63,1309.54,-457.73,74.5,1.0,5730.0,156.0,-173.0,4.545,0.042,-0.168,0.87,0.215,-0.072,288.90857,44.64241,15.062,0,0
0.967,27.6666375,0.000205,-0.000205,143.86343,0.00635,-0.00635,0.519,0.437,-0.323,6.315,0.167,-0.167,324.0,13.7,-13.7,2.04,0.3,-0.29,622.0,35.27,13.45,-10.8,24.4,2.0,5616.0,76.0,-76.0,4.327,0.132,-0.108,1.111,0.16,-0.16,289.86157,43.472771,14.601,1,2
0.849,39.818832,0.00031,-0.00031,166.65072,0.00656,-0.00656,0.6,0.325,-0.398,10.757,0.191,-0.191,199.0,7.1,-7.1,2.23,0.36,-0.49,650.0,42.32,19.32,-18.2,29.4,1.0,5710.0,114.0,-91.0,4.073,0.201,-0.093,1.524,0.244,-0.336,286.64642,49.937778,13.102,1,2
0.965,1.400903699,8.37e-06,-8.37e-06,131.84562,0.00528,-0.00528,0.196,0.267,-0.196,0.883,0.173,-0.173,137.0,19.2,-19.2,1.16,0.34,-0.11,1764.0,2284.73,1999.71,-696.16,9.8,1.0,6375.0,177.0,-244.0,4.474,0.065,-0.195,0.975,0.289,-0.096,293.7937,41.204491,15.514,1,1
0.0,2.87066026,1.5e-05,-1.5e-05,133.66393,0.0044,-0.0044,0.286,0.164,-0.286,1.541,0.128,-0.128,451.0,41.3,-41.3,1.72,0.44,-0.15,1196.0,484.17,368.99,-126.55,13.2,1.0,5910.0,159.0,-177.0,4.578,0.044,-0.187,0.796,0.206,-0.069,294.74448,41.749962,15.413,0,0
1.0,1.6783263,1.92e-06,-1.92e-06,136.05259,0.000905,-0.000905,0.91,0.077,-0.681,2.5123,0.0221,-0.0221,146.0,2.2,-2.2,1.57,0.26,-0.18,1659.0,1797.15,828.74,-497.48,76.1,2.0,6015.0,108.0,-132.0,4.37,0.095,-0.116,1.081,0.18,-0.12,291.38223,38.127468,12.722,1,2
0.0,27.961084,0.000398,-0.000398,133.1759,0.0118,-0.0118,1.02,61.54,-0.04,3.8741,0.0431,-0.0431,6270.0,70.1,-70.1,21.5,6.36,-4.23,796.0,94.86,83.05,-43.32,106.0,1.0,6770.0,189.0,-284.0,4.249,0.128,-0.192,1.361,0.403,-0.268,291.38675,42.260509,14.069,0,0
0.984,2.94242323,1.46e-05,-1.46e-05,133.86084,0.00428,-0.00428,0.447,0.011,-0.447,1.519,0.136,-0.136,293.0,25.4,-25.4,1.42,0.31,-0.13,1098.0,344.64,243.6,-96.06,14.7,1.0,5436.0,187.0,-187.0,4.573,0.036,-0.144,0.819,0.181,-0.073,288.72598,40.531631,15.907,1,1
0.0,7.544039,0.000102,-0.000102,171.7982,0.0105,-0.0105,1.175,33.63,-0.911,6.222,0.731,-0.731,323.0,28.2,-28.2,17.47,4.12,-1.65,838.0,116.46,81.18,-31.91,14.2,2.0,5657.0,152.0,-169.0,4.567,0.038,-0.152,0.824,0.194,-0.078,293.94116,38.601101,15.559,0,0
0.0,3.481657589,6.3e-08,-6.3e-08,134.1835162,1.49e-05,-1.49e-05,0.245,0.001,-0.001,4.75315,0.00104,-0.00104,347000.0,67.3,-67.3,78.24,21.2,-21.2,1485.0,1151.7,941.75,-609.3,7428.7,1.0,6225.0,188.0,-188.0,4.191,0.258,-0.172,1.291,0.349,-0.349,298.68329,44.63681,13.396,0,0
0.999,6.08003714,1.67e-05,-1.67e-05,136.88262,0.00228,-0.00228,0.254,0.196,-0.254,1.308,0.0835,-0.0835,184.0,12.4,-12.4,1.07,0.09,-0.12,808.0,100.72,32.86,-29.28,17.7,1.0,4991.0,149.0,-134.0,4.513,0.082,-0.06,0.804,0.069,-0.089,281.89813,42.28587,13.473,1,1
0.153,447.97028,0.0295,-0.0295,559.6455,0.037,-0.037,0.021,0.41,-0.021,10.857,0.843,-0.843,513.0,61.5,-61.5,2.0,0.62,-0.2,230.0,0.67,0.6,-0.19,9.2,1.0,5911.0,159.0,-177.0,4.53,0.05,-0.212,0.887,0.273,-0.091,287.10013,45.00631,15.152,0,0
1.0,8.710442022,7.91e-06,-7.91e-06,134.614376,0.000779,-0.000779,0.935,0.038,-0.679,0.9425,0.0373,-0.0373,1200.0,42.0,-42.0,3.61,0.76,-0.3,760.0,78.75,50.55,-20.15,42.6,1.0,5416.0,160.0,-160.0,4.575,0.034,-0.136,0.809,0.169,-0.068,296.62347,49.979172,14.816,1,1
0.0,42.2625935,0.000146,-0.000146,152.31269,0.00274,-0.00274,0.962,0.013,-0.012,4.465,0.248,-0.248,692.0,26.3,-26.3,12.62,3.65,-9.1,855.0,126.27,117.71,-117.64,40.7,1.0,5432.0,210.0,-171.0,3.55,0.808,-0.202,3.581,1.033,-2.583,293.93689,42.961559,13.754,0,0
0.212,370.98253,0.0123,-0.0123,308.2287,0.0221,-0.0221,1.655,6.54,-0.248,17.84,1.3,-1.3,552.0,41.5,-41.5,119.96,31.9,-47.8,338.0,3.07,2.47,-2.09,15.7,1.0,6028.0,181.0,-181.0,4.013,0.42,-0.14,1.63,0.433,-0.65,298.21265,44.80479,13.936,1,1
0.0,2.69633621,1.69e-05,-1.69e-05,132.99538,0.00563,-0.00563,1.141,2.89,-0.121,5.238,0.256,-0.256,239.0,10.9,-10.9,15.78,4.9,-1.64,1334.0,749.66,682.77,-223.25,26.5,1.0,6106.0,164.0,-201.0,4.496,0.054,-0.216,0.923,0.287,-0.096,283.75385,47.796951,15.319,0,0
0.49,19.30112039,7.41e-05,-7.41e-05,133.35614,0.00366,-0.00366,0.862,0.058,-0.577,6.0752,0.0887,-0.0887,232.0,5.4,-5.4,1.66,0.21,-0.2,669.0,47.49,18.09,-13.1,45.0,1.0,5687.0,114.0,-102.0,4.408,0.11,-0.099,0.943,0.122,-0.111,295.51068,42.930565,13.601,0,0
1.0,2.576571021,1.95e-06,-1.95e-06,172.126911,0.000617,-0.000617,0.187,0.096,-0.187,1.5997,0.0187,-0.0187,853.0,14.6,-14.6,1.57,0.09,-0.12,717.0,62.42,12.91,-13.65,63.6,2.0,3834.0,77.0,-84.0,4.708,0.045,-0.021,0.539,0.03,-0.041,292.29459,40.591789,15.264,1,2
0.0,4.93913074,1.11e-05,-1.11e-05,135.05172,0.00192,-0.00192,1.167,69.42,-0.133,1.362,0.106,-0.106,383.0,22.5,-22.5,24.03,7.15,-4.4,1182.0,461.47,411.31,-191.41,22.0,1.0,5956.0,176.0,-193.0,4.324,0.132,-0.181,1.17,0.348,-0.214,291.23883,40.163509,14.832,0,0
1.0,20.6654374,0.000179,-0.000179,132.01229,0.00651,-0.00651,0.05,0.417,-0.05,3.172,0.21,-0.21,100.0,8.4,-8.4,0.66,0.03,-0.04,487.0,13.35,2.41,-2.34,13.6,1.0,4830.0,96.0,-96.0,4.605,0.042,-0.021,0.676,0.03,-0.037,294.99023,39.346378,11.759,1,1
0.193,1.516372183,9.62e-06,-9.62e-06,131.83387,0.00513,-0.00513,0.596,0.382,-0.389,1.239,0.185,-0.185,93.8,14.1,-14.1,1.06,0.35,-0.12,1686.0,1911.54,1839.71,-614.1,8.8,1.0,6142.0,171.0,-236.0,4.456,0.056,-0.224,1.046,0.341,-0.114,293.98837,40.458981,15.16,0,0
1.0,4.09513876,3.04e-05,-3.04e-05,131.67784,0.00624,-0.00624,0.97,0.036,-0.72,2.462,0.148,-0.148,182.0,18.3,-18.3,1.75,0.56,-0.18,1122.0,374.3,351.13,-108.58,11.6,1.0,5858.0,156.0,-191.0,4.495,0.052,-0.208,0.963,0.309,-0.096,294.63257,43.807671,15.524,1,2
0.0,0.967073359,8.22e-07,-8.22e-07,131.604602,0.000688,-0.000688,1.222,0.676,-0.145,2.4875,0.0503,-0.0503,774.0,10.8,-10.8,28.15,7.88,-3.63,1867.0,2870.56,2362.35,-967.18,92.4,2.0,5755.0,156.0,-190.0,4.402,0.105,-0.195,1.022,0.286,-0.132,294.02347,39.92408,15.12,0,0
0.0,3.10197712,1e-05,-1e-05,133.78902,0.0029,-0.0029,0.984,0.002,-0.002,7.083,0.148,-0.148,125.0,3.4,-3.4,2.64,1.24,-0.22,2246.0,6009.05,9902.9,-2779.89,63.3,1.0,8709.0,462.0,-925.0,4.232,0.032,-0.288,1.797,0.84,-0.148,298.57156,47.963951,12.075,0,0
1.0,26.7838935,0.000158,-0.000158,140.75396,0.00522,-0.00522,0.036,0.442,-0.036,4.584,0.16,-0.16,365.0,19.4,-19.4,1.59,0.12,-0.08,523.0,17.69,4.04,-2.71,20.9,1.0,5242.0,84.0,-73.0,4.512,0.05,-0.061,0.856,0.063,-0.046,296.55005,49.102322,14.803,1,2
0.994,10.51421162,5.54e-05,-5.54e-05,134.56738,0.00465,-0.00465,0.877,0.048,-0.618,3.877,0.118,-0.118,85.4,4.5,-4.5,1.25,0.23,-0.09,943.0,187.06,91.05,-39.79,21.6,2.0,6259.0,99.0,-136.0,4.385,0.034,-0.128,1.167,0.212,-0.085,292.62747,37.860142,11.69,1,2
0.022,15.0367776,0.000161,-0.000161,133.6558,0.0102,-0.0102,1.115,70.92,-5.333,3.042,0.346,-0.346,504.0,56.1,-56.1,8.02,0.45,-0.58,381.0,4.96,1.04,-0.99,10.8,2.0,3729.0,75.0,-67.0,4.733,0.039,-0.021,0.514,0.029,-0.037,292.73764,42.014832,15.665,0,0
0.0,3.613757526,1.04e-06,-1.04e-06,171.422542,0.000229,-0.000229,0.812,0.003,-0.005,5.9128,0.0192,-0.0192,4870.0,9.8,-9.8,7.05,2.05,-0.73,1182.0,461.67,398.4,-135.49,591.2,1.0,5986.0,168.0,-189.0,4.498,0.065,-0.195,0.906,0.264,-0.094,299.07513,40.35833,14.915,0,0
0.998,1.68189051,1.08e-05,-1.08e-05,133.07951,0.00512,-0.00512,0.415,0.047,-0.415,2.992,0.161,-0.161,83.2,5.6,-5.6,1.27,0.2,-0.23,1790.0,2432.14,1005.66,-880.04,17.4,1.0,5827.0,70.0,-79.0,4.191,0.162,-0.108,1.374,0.221,-0.246,289.95651,47.02039,14.812,1,2
0.0,0.9337491,1.47e-05,-1.47e-05,132.449,0.0147,-0.0147,0.084,0.398,-0.084,3.842,0.288,-0.288,98.1,9.4,-9.4,0.79,0.2,-0.06,1662.0,1809.26,1416.75,-482.6,12.6,1.0,5628.0,186.0,-186.0,4.575,0.04,-0.16,0.808,0.203,-0.068,292.08099,47.613461,15.958,0,0
0.998,9.95667035,5.85e-05,-5.85e-05,136.5827,0.0063,-0.0063,0.949,0.011,-0.691,3.534,0.11,-0.11,587.0,39.6,-39.6,3.41,1.12,-0.48,946.0,189.48,186.55,-67.05,16.8,1.0,6165.0,184.0,-202.0,4.365,0.105,-0.21,1.115,0.366,-0.157,283.2645,41.711449,15.309,1,2
1.0,44.0003975,0.000151,-0.000151,210.76222,0.00271,-0.00271,0.032,0.373,-0.032,5.1115,0.0776,-0.0776,600.0,14.8,-14.8,1.56,0.07,-0.09,377.0,4.79,0.87,-0.84,43.3,3.0,4859.0,97.0,-97.0,4.615,0.049,-0.021,0.651,0.029,-0.036,287.43918,43.832088,14.287,1,2
0.996,8.31224474,5.62e-05,-5.62e-05,139.67706,0.00575,-0.00575,1.111,7.224,-0.103,2.663,0.401,-0.401,70.8,7.6,-7.6,10.63,1.98,-1.49,801.0,97.64,56.83,-33.59,12.2,1.0,5421.0,161.0,-161.0,4.483,0.115,-0.127,0.816,0.152,-0.114,295.37476,43.500431,13.019,1,1
0.0,1.33256944,1.29e-05,-1.29e-05,132.05502,0.0069,-0.0069,0.456,0.006,-0.456,3.89,0.258,-0.258,20.6,1.4,-1.4,0.46,0.08,-0.06,1624.0,1636.72,898.42,-512.7,18.8,1.0,5655.0,137.0,-154.0,4.431,0.088,-0.132,0.998,0.186,-0.124,295.13477,46.76965,12.496,0,0
0.978,10.8206034,0.000157,-0.000157,140.5078,0.012,-0.012,0.592,0.38,-0.395,2.848,0.401,-0.401,117.0,19.3,-19.3,1.19,0.35,-0.19,885.0,145.06,129.87,-57.26,7.3,2.0,6032.0,189.0,-232.0,4.387,0.108,-0.201,1.06,0.312,-0.168,290.73517,44.09132,14.633,1,1
0.998,6.17817366,1.39e-05,-1.39e-05,168.8626,0.00181,-0.00181,0.775,0.047,-0.543,3.2601,0.0544,-0.0544,102.0,2.5,-2.5,1.22,0.17,-0.19,1082.0,324.69,130.63,-111.84,43.5,3.0,5931.0,107.0,-118.0,4.322,0.137,-0.112,1.101,0.157,-0.173,283.23581,41.34304,11.818,1,2
1.0,14.37457572,3.31e-05,-3.31e-05,138.20189,0.00192,-0.00192,0.035,0.384,-0.035,4.7892,0.057,-0.057,336.0,6.6,-6.6,1.94,0.29,-0.24,779.0,87.24,37.61,-25.3,55.2,1.0,5768.0,115.0,-115.0,4.358,0.121,-0.11,1.067,0.16,-0.131,293.37225,44.785141,13.749,1,2
1.0,7.03932913,1.75e-05,-1.75e-05,133.85433,0.002,-0.002,0.956,0.017,-0.043,3.514,0.226,-0.226,837.0,27.0,-27.0,4.67,0.8,-0.73,1060.0,298.33,133.89,-97.29,48.6,1.0,5846.0,79.0,-79.0,4.278,0.132,-0.108,1.24,0.213,-0.194,295.8287,43.425491,14.915,1,2
1.0,4.580346161,7.04e-06,-7.04e-06,134.0754,0.00131,-0.00131,0.384,0.077,-0.384,2.097,0.0384,-0.0384,308.0,6.8,-6.8,1.38,0.09,-0.07,889.0,147.56,33.76,-23.82,49.8,2.0,5103.0,101.0,-101.0,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32553,46.002251,13.693,1,2
0.0,40.87784199,2.14e-06,-2.14e-06,158.3207395,4.53e-05,-4.53e-05,0.71,0.005,-0.005,9.88456,0.00221,-0.00221,256000.0,47.1,-47.1,164.06,37.2,-69.1,915.0,166.06,113.21,-118.57,5260.3,1.0,6807.0,192.0,-264.0,3.848,0.35,-0.15,2.59,0.587,-1.091,292.35025,42.393429,11.663,0,0
0.935,1.049468616,9.09e-06,-9.09e-06,132.26871,0.00802,-0.00802,0.731,0.218,-0.48,4.848,0.31,-0.31,22.0,1.3,-1.3,0.84,0.26,-0.17,2808.0,14709.49,13891.01,-6928.72,22.8,1.0,7479.0,235.0,-314.0,4.162,0.128,-0.192,1.667,0.518,-0.346,298.91757,40.716961,12.519,0,0
0.523,69.089357,0.00237,-0.00237,135.4461,0.028,-0.028,0.051,0.416,-0.051,6.207,0.93,-0.93,475.0,73.5,-73.5,1.47,0.13,-0.14,332.0,2.87,0.92,-0.8,8.6,1.0,4848.0,131.0,-146.0,4.581,0.063,-0.036,0.698,0.062,-0.068,290.87305,37.362179,15.572,1,1
0.0,9.8338474,0.000165,-0.000165,132.5363,0.0175,-0.0175,0.733,0.202,-0.508,14.585,0.439,-0.439,57.6,2.7,-2.7,0.98,0.15,-0.12,946.0,188.78,74.85,-51.21,23.8,1.0,5929.0,71.0,-79.0,4.308,0.121,-0.11,1.202,0.185,-0.148,286.83151,49.18824,12.792,0,0
0.0,0.589049151,3.3e-08,-3.3e-08,132.1792702,4.59e-05,-4.59e-05,1.094,0.027,-0.027,2.25397,0.00275,-0.00275,62000.0,62.1,-62.1,39.51,6.09,-4.97,1959.0,3495.15,1740.31,-1099.4,1227.6,1.0,5592.0,166.0,-150.0,4.51,0.115,-0.104,0.771,0.119,-0.097,296.60672,44.472919,13.643,0,0
0.985,154.674369,0.0046,-0.0046,177.3621,0.0267,-0.0267,0.777,0.015,-0.557,9.35,0.641,-0.641,436.0,37.2,-37.2,2.29,0.71,-0.26,371.0,4.47,4.09,-1.45,13.5,1.0,6338.0,176.0,-242.0,4.449,0.07,-0.21,1.002,0.311,-0.111,288.63861,42.857288,15.015,1,1
0.0,1.873380717,5.21e-07,-5.21e-07,131.795634,0.000292,-0.000292,0.27,0.003,-0.007,10.1083,0.0113,-0.0113,539000.0,750.0,-750.0,89.79,25.0,-20.5,1669.0,1830.27,1556.55,-884.55,1513.7,1.0,5992.0,189.0,-210.0,4.283,0.19,-0.19,1.171,0.326,-0.267,290.47421,38.427368,14.807,0,0
0.0,4.0551242,0.000364,-0.000364,134.6871,0.0781,-0.0781,0.008,0.475,-0.008,12.0,2.4,-2.4,149.0,17.4,-17.4,3.13,0.5,-0.75,2013.0,3887.31,1566.26,-1759.39,9.3,1.0,7064.0,74.0,-95.0,3.888,0.182,-0.098,2.531,0.405,-0.607,295.95383,49.374859,13.397,0,0
0.0,32.00381564,5.8e-06,-5.8e-06,136.49482,0.000141,-0.000141,1.226,0.048,-0.047,4.31197,0.00748,-0.00748,17100.0,26.3,-26.3,180.25,50.1,-125.0,960.0,201.25,175.18,-185.16,711.4,1.0,5260.0,182.0,-200.0,3.459,0.808,-0.202,4.062,1.128,-2.821,297.28387,45.95311,13.396,0,0
0.0,101.2633628,1.45e-05,-1.45e-05,214.125128,0.000113,-0.000113,0.944,0.016,-0.013,17.8951,0.00922,-0.00922,72800.0,29.8,-29.8,44.0,15.1,-5.01,435.0,8.47,8.51,-2.64,3573.1,1.0,6309.0,169.0,-206.0,4.413,0.07,-0.21,1.062,0.364,-0.121,290.42529,46.889938,14.319,0,0
0.0,20.41305242,1.59e-06,-1.59e-06,140.0167643,6.46e-05,-6.46e-05,0.777,0.015,-0.001,4.4621,0.00394,-0.00394,92700.0,83.2,-83.2,35.03,10.8,-3.6,668.0,47.14,42.49,-13.89,1620.8,1.0,5941.0,158.0,-193.0,4.487,0.054,-0.216,0.963,0.297,-0.099,291.30069,49.495689,14.874,0,0
0.0,0.655001616,3.4e-07,-3.4e-07,133.176794,0.000418,-0.000418,1.121,0.372,-0.064,1.8136,0.0253,-0.0253,271.0,3.2,-3.2,31.77,6.82,-10.2,3162.0,23595.49,15137.86,-13993.02,104.5,1.0,6426.0,173.0,-192.0,3.965,0.266,-0.114,2.089,0.449,-0.673,293.53415,44.971111,13.371,0,0
0.99,7.7021729,0.000131,-0.000131,138.4181,0.0122,-0.0122,0.509,0.042,-0.443,3.987,0.414,-0.414,74.6,9.8,-9.8,0.85,0.12,-0.06,888.0,147.24,52.62,-27.22,9.5,1.0,5618.0,76.0,-76.0,4.449,0.068,-0.11,0.969,0.13,-0.07,292.46378,44.090111,14.32,1,1
