DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,16.22754867,1.49e-06,-1.49e-06,136.6397289,7.91e-05,-7.91e-05,0.795,0.022,-0.018,5.08666,0.00364,-0.00364,193000.0,124.0,-124.0,46.52,8.13,-3.1,599.0,30.52,17.45,-7.57,1870.0,1.0,5297.0,175.0,-191.0,4.587,0.03,-0.12,0.795,0.139,-0.053,297.19037,46.826481,15.901,0,0
1.0,210.631486,0.00151,-0.00151,300.72292,0.00618,-0.00618,0.642,0.016,-0.493,8.419,0.223,-0.223,1660.0,65.2,-65.2,3.23,0.17,-0.13,234.0,0.71,0.13,-0.1,25.9,1.0,4895.0,78.0,-78.0,4.589,0.018,-0.046,0.759,0.041,-0.03,287.30283,39.289688,15.195,1,2
1.0,24.7577652,0.000122,-0.000122,142.06826,0.0036,-0.0036,0.896,0.025,-0.619,6.998,0.13,-0.13,459.0,13.8,-13.8,2.44,0.71,-0.24,644.0,40.74,35.18,-11.73,37.6,1.0,6106.0,163.0,-199.0,4.487,0.048,-0.192,0.966,0.285,-0.095,293.88177,49.683151,14.49,1,2
0.0,1.33255087,1.67e-05,-1.67e-05,132.059,0.0126,-0.0126,0.415,0.033,-0.415,3.565,0.305,-0.305,123.0,10.9,-10.9,1.19,0.34,-0.2,1728.0,2107.29,1832.52,-834.0,14.0,1.0,5774.0,172.0,-190.0,4.347,0.158,-0.193,1.054,0.305,-0.178,294.53516,46.506149,15.053,0,0
0.0,1.594162001,6.3e-07,-6.3e-07,132.634679,0.000322,-0.000322,1.128,0.157,-0.084,5.4958,0.0183,-0.0183,9880.0,28.8,-28.8,26.11,5.29,-3.51,1419.0,960.51,599.12,-322.19,415.0,1.0,5388.0,159.0,-159.0,4.449,0.121,-0.148,0.885,0.179,-0.119,301.09857,44.76059,14.585,0,0
0.99,7.84931877,7.56e-05,-7.56e-05,134.8747,0.00846,-0.00846,0.107,0.352,-0.107,3.747,0.31,-0.31,68.2,6.6,-6.6,0.81,0.12,-0.11,925.0,172.98,70.0,-52.88,12.6,1.0,5678.0,113.0,-91.0,4.365,0.144,-0.108,0.99,0.138,-0.138,288.2327,48.002178,13.858,1,2
0.0,19.15976088,2e-06,-2e-06,141.5680129,8.47e-05,-8.47e-05,1.191,0.116,-0.089,3.10166,0.00389,-0.00389,32500.0,25.7,-25.7,25.24,1.76,-2.1,424.0,7.65,2.26,-2.07,900.3,1.0,4492.0,141.0,-157.0,4.727,0.054,-0.032,0.516,0.036,-0.043,288.64325,50.90118,15.053,1,1
0.0,9.41475056,2.3e-05,-2.3e-05,142.32936,0.00187,-0.00187,1.148,14.56,-0.077,4.736,0.102,-0.102,483.0,10.2,-10.2,19.33,6.22,-2.07,962.0,202.58,187.35,-60.97,55.2,1.0,6406.0,158.0,-206.0,4.436,0.067,-0.216,1.033,0.332,-0.111,293.17416,45.521229,13.66,0,0
0.994,39.74893077,1.55e-05,-1.55e-05,172.854644,0.000301,-0.000301,0.881,0.003,-0.003,7.3051,0.0213,-0.0213,15200.0,44.1,-44.1,14.21,4.46,-1.49,552.0,21.87,20.59,-6.71,561.1,1.0,6122.0,181.0,-218.0,4.487,0.052,-0.208,0.964,0.303,-0.101,293.17929,41.969238,15.344,1,1
0.0,19.74161604,8.06e-07,-8.06e-07,136.446922,3.41e-05,-3.41e-05,1.04,0.021,-0.061,3.07231,0.00144,-0.00144,88800.0,33.8,-33.8,82.98,17.8,-16.0,902.0,156.6,95.89,-65.38,2153.0,1.0,6535.0,147.0,-180.0,4.183,0.14,-0.14,1.529,0.328,-0.295,289.86105,41.408192,10.543,0,0
0.0,16.8320798,6.99e-07,-6.99e-07,133.1746947,3.51e-05,-3.51e-05,0.218,0.027,-0.008,7.79748,0.00285,-0.00285,48400.0,11.3,-11.3,61.35,13.1,-24.2,1243.0,565.17,359.4,-381.98,5156.6,1.0,6300.0,170.0,-189.0,3.646,0.322,-0.115,2.755,0.586,-1.088,299.16174,40.92701,13.125,0,0
0.0,1.027904857,5.54e-07,-5.54e-07,132.444316,0.000497,-0.000497,1.261,3.543,-0.113,1.6381,0.0208,-0.0208,2380.0,23.2,-23.2,30.48,6.92,-4.61,1653.0,1769.2,1317.95,-659.99,117.8,1.0,5432.0,204.0,-185.0,4.446,0.144,-0.176,0.872,0.198,-0.132,297.58023,39.702702,15.32,0,0
